species_a,species_b,n_genes_a,n_genes_b,hits_at_k_procrustes,mrr_at_k_procrustes,top_m_hits_at_k_procrustes,spearman_rho_procrustes,hits_at_k_space_v2,mrr_at_k_space_v2,top_m_hits_at_k_space_v2,spearman_rho_space_v2
ARATH,GOSBA,27540,74014,0.1322,0.0203,0.2265,0.4854,0.0023,0.0002,0.0080,0.0796
ARATH,GOSHI,27540,75746,0.1756,0.0284,0.2941,0.5324,0.0019,0.0001,0.0100,0.0191
ARATH,GOSRA,27540,36960,0.0948,0.0139,0.1569,0.3599,0.0034,0.0003,0.0141,0.0296
ARATH,GUAOF,27540,21680,0.0076,0.0007,0.0254,0.1622,0.0023,0.0003,0.0112,-0.0331
ARATH,HACVI,27540,25995,0.0188,0.0025,0.0499,0.2215,0.0025,0.0003,0.0109,-0.0135
ARATH,HALUN,27540,21167,0.0337,0.0035,0.0610,0.2770,0.0037,0.0003,0.0086,0.0448
ARATH,HELAN,27540,52071,0.1901,0.0313,0.2750,0.4796,0.0075,0.0007,0.0186,0.0932
ARATH,HEVBR,27540,38441,0.1534,0.0254,0.2274,0.4777,0.0070,0.0005,0.0179,0.0457
ARATH,HYDVE,27540,64396,0.0035,0.0004,0.0127,0.1537,0.0009,0.0001,0.0043,-0.0290
ARATH,ILEVE,27540,27474,0.0271,0.0033,0.0561,0.2404,0.0030,0.0003,0.0105,0.0126
ARATH,JATCU,27540,47853,0.1557,0.0263,0.2197,0.4511,0.0058,0.0005,0.0131,0.1603
ARATH,LACSA,27540,37959,0.2343,0.0451,0.3089,0.5358,0.0148,0.0018,0.0307,0.1613
ARATH,LINBE,27540,28591,0.0248,0.0040,0.0533,0.1851,0.0030,0.0003,0.0100,-0.0171
ARATH,MALDO,27540,44981,0.1866,0.0306,0.2825,0.5124,0.0061,0.0006,0.0178,0.1222
ARATH,MANES,27540,32637,0.1771,0.0307,0.2569,0.5146,0.0090,0.0008,0.0212,0.1032
ARATH,MARPO,27540,17993,0.1790,0.0302,0.2147,0.4950,0.0937,0.0116,0.1129,0.1903
ARATH,MEDTR,27540,49662,0.2309,0.0447,0.3036,0.4555,0.0055,0.0004,0.0121,0.0430
ARATH,MUSAC,27540,34914,0.1549,0.0255,0.2379,0.5411,0.0116,0.0012,0.0299,0.2367
ARATH,NELNU,27540,41334,0.1757,0.0281,0.2461,0.5875,0.0054,0.0005,0.0126,0.1664
ARATH,NICAT,27540,32594,0.1583,0.0260,0.2185,0.4611,0.0100,0.0010,0.0240,0.1035
ARATH,NICBE,27540,57242,0.2068,0.0386,0.3090,0.5402,0.0044,0.0005,0.0149,0.1514
ARATH,NICTA,27540,67212,0.1793,0.0312,0.2842,0.5225,0.0035,0.0003,0.0127,0.1094
ARATH,NUPAD,27540,30381,0.0287,0.0067,0.0566,0.1687,0.0027,0.0003,0.0079,-0.0204
ARATH,OLEEU,27540,50544,0.1515,0.0230,0.2310,0.4962,0.0085,0.0010,0.0202,0.0895
ARATH,ORYSA,27540,42173,0.2046,0.0345,0.2769,0.5310,0.0616,0.0071,0.0966,0.3162
ARATH,PHAVU,27540,27417,0.2077,0.0368,0.2819,0.5155,0.0152,0.0013,0.0308,0.1331
ARATH,PHYBR,27540,24932,0.0221,0.0029,0.0514,0.2176,0.0036,0.0004,0.0124,0.0489
ARATH,PICAB,27540,64607,0.1066,0.0160,0.1790,0.4447,0.0250,0.0025,0.0449,0.1203
ARATH,PIPSA,27540,38928,0.0263,0.0024,0.0521,0.2452,0.0022,0.0002,0.0064,0.0104
ARATH,PISSA,27540,38096,0.1750,0.0323,0.2354,0.4630,0.0114,0.0011,0.0241,0.1263
ARATH,POLXX,27540,32032,0.0100,0.0016,0.0281,0.1574,0.0019,0.0002,0.0086,-0.0132
ARATH,POPTR,27540,34671,0.1895,0.0311,0.2744,0.5422,0.0088,0.0009,0.0270,0.1503
ARATH,PRUAV,27540,40157,0.1882,0.0329,0.2484,0.4728,0.0092,0.0010,0.0188,0.1320
ARATH,PRUPE,27540,26832,0.2047,0.0361,0.2762,0.5172,0.0142,0.0013,0.0299,0.1658
ARATH,RAPSA,27540,76520,0.2485,0.0503,0.3385,0.5183,0.0032,0.0003,0.0088,0.0795
ARATH,RICCO,27540,25814,0.1621,0.0270,0.2204,0.4803,0.0220,0.0023,0.0370,0.1746
ARATH,ROSCH,27540,44933,0.1603,0.0279,0.2209,0.4179,0.0076,0.0008,0.0159,0.0670
ARATH,SELMO,27540,21389,0.1020,0.0184,0.1492,0.3449,0.0384,0.0046,0.0550,0.1010
ARATH,SESIN,27540,24822,0.2114,0.0367,0.2861,0.5384,0.0121,0.0012,0.0317,0.2325
ARATH,SMIHI,27540,25420,0.0291,0.0040,0.0555,0.1901,0.0060,0.0006,0.0132,0.0350
ARATH,SOLLY,27540,36401,0.2432,0.0463,0.3198,0.5374,0.0202,0.0019,0.0393,0.2246
ARATH,SOLME,27540,33409,0.0693,0.0108,0.1179,0.2934,0.0057,0.0005,0.0169,0.0440
ARATH,SOLPE,27540,41911,0.1601,0.0271,0.2231,0.4069,0.0118,0.0011,0.0243,0.1062
ARATH,SOLPI,27540,33885,0.1770,0.0300,0.2417,0.4669,0.0166,0.0017,0.0357,0.1409
ARATH,SOLTU,27540,32903,0.2345,0.0440,0.3107,0.5302,0.0069,0.0007,0.0181,0.0295
ARATH,SPIOL,27540,33515,0.2050,0.0379,0.2664,0.4811,0.0154,0.0013,0.0273,0.1911
ARATH,STEMA,27540,28745,0.0107,0.0027,0.0347,0.1720,0.0019,0.0001,0.0084,-0.0345
ARATH,SYNXX,27540,34806,0.0193,0.0021,0.0290,0.2127,0.0032,0.0003,0.0059,0.0724
ARATH,TABDI,27540,54245,0.0504,0.0068,0.0905,0.2891,0.0039,0.0002,0.0088,-0.0032
ARATH,TARHA,27540,26677,0.0942,0.0139,0.1523,0.3695,0.0074,0.0006,0.0233,0.0947
ARATH,THECA,27540,26852,0.1380,0.0224,0.1961,0.4617,0.0104,0.0008,0.0299,0.1895
ARATH,TRIPR,27540,38867,0.1052,0.0173,0.1612,0.3465,0.0050,0.0004,0.0125,0.0296
ARATH,VIGAN,27540,31249,0.0748,0.0112,0.1255,0.3042,0.0070,0.0007,0.0201,0.0695
ARATH,VIGRA,27540,22266,0.1878,0.0322,0.2523,0.5178,0.0151,0.0012,0.0296,0.1268
ARATH,VITVI,27540,30920,0.2135,0.0378,0.2875,0.5707,0.0127,0.0010,0.0266,0.1882
ARATH,ZIZJU,27540,29382,0.1959,0.0349,0.2611,0.4959,0.0122,0.0012,0.0244,0.1012
ARATH,ZOSMA,27540,21102,0.1420,0.0230,0.2008,0.5104,0.0231,0.0023,0.0410,0.0857
BRADI,ORYSA,32393,42173,0.3254,0.0800,0.4008,0.5702,0.0145,0.0016,0.0330,0.1624
CENAM,ORYSA,37237,42173,0.2590,0.0569,0.3418,0.5219,0.0088,0.0008,0.0183,0.1198
CIBBA,MARPO,50515,17993,0.0446,0.0059,0.0673,0.2901,0.0027,0.0002,0.0064,0.0035
CYCED,PICAB,31507,64607,0.0178,0.0024,0.0450,0.3593,0.0022,0.0003,0.0060,-0.0046
DAVDE,MARPO,38030,17993,0.0525,0.0066,0.0819,0.3010,0.0048,0.0004,0.0082,0.0083
DICCU,MARPO,36073,17993,0.0645,0.0081,0.0947,0.3364,0.0056,0.0006,0.0114,0.0436
DIPPR,MARPO,36486,17993,0.0443,0.0061,0.0790,0.3159,0.0065,0.0005,0.0104,0.0268
EQUHY,MARPO,26384,17993,0.0583,0.0085,0.0842,0.3574,0.0108,0.0014,0.0138,0.0285
ERATE,ORYSA,40666,42173,0.0653,0.0081,0.1162,0.3692,0.0018,0.0002,0.0062,-0.0078
GINBI,PICAB,40983,64607,0.1174,0.0183,0.2193,0.5552,0.0029,0.0003,0.0095,0.2632
