species,n_genes,n_edges,density,mean_degree
TAXCA,23484,715846,0.00259612,60.9646
TECIN,35251,856114,0.00137794,48.5725
THECA,26852,923977,0.00256303,68.82
TRIAE,106773,4054258,0.00071125,75.9416
TRIDI,61600,2275290,0.00119926,73.8731
TRIPR,38867,1381649,0.00182927,71.0963
TRITU,66054,2564882,0.00117572,77.6602
TRIUR,40079,1544640,0.00192324,77.0798
VIGAN,31249,1069885,0.00219133,68.4748
VIGRA,22266,796918,0.00321498,71.5816
VITVI,30920,1086544,0.00227307,70.281
ZEAMA,39756,1478603,0.00187106,74.3839
ZIZJU,29382,1058645,0.00245263,72.0608
ZOSMA,21102,755161,0.0033919,71.5725
